accuracy,balanced_accuracy,auc,f1,sensitivity,specificity,tn,fp,fn,tp,model,threshold_mode,feature_set
0.7824561403508772,0.7825797872340425,0.8365592986603625,0.7832167832167832,0.7943262411347518,0.7708333333333334,111,33,29,112,hgb_leaf5,bacc_sens80,candidates_plus_raw_outputs
0.7824561403508772,0.7825797872340425,0.8365592986603625,0.7832167832167832,0.7943262411347518,0.7708333333333334,111,33,29,112,hgb_leaf5,acc_sens80,candidates_plus_raw_outputs
0.7824561403508772,0.7825797872340425,0.817326635145784,0.7832167832167832,0.7943262411347518,0.7708333333333334,111,33,29,112,logreg_c01,bacc_sens80,candidates_plus_raw_outputs
0.7824561403508772,0.7825797872340425,0.817326635145784,0.7832167832167832,0.7943262411347518,0.7708333333333334,111,33,29,112,logreg_c01,acc_sens80,candidates_plus_raw_outputs
0.7824561403508772,0.7825059101654847,0.8378398345153664,0.7816901408450704,0.7872340425531915,0.7777777777777778,112,32,30,111,hgb_leaf3,f1,candidates_plus_raw_outputs
0.7824561403508772,0.782136524822695,0.8365592986603625,0.7737226277372263,0.75177304964539,0.8125,117,27,35,106,hgb_leaf5,bacc,candidates_plus_raw_outputs
0.7824561403508772,0.782136524822695,0.8365592986603625,0.7737226277372263,0.75177304964539,0.8125,117,27,35,106,hgb_leaf5,acc,candidates_plus_raw_outputs
0.7789473684210526,0.7789598108747045,0.8365592986603625,0.7773851590106007,0.7801418439716312,0.7777777777777778,112,32,31,110,hgb_leaf5,f1,candidates_plus_raw_outputs
0.7684210526315789,0.7689125295508275,0.8248128447596532,0.777027027027027,0.8156028368794326,0.7222222222222222,104,40,26,115,gb_d2_lr03,bacc_sens80,candidates_plus_raw_outputs
0.7684210526315789,0.7689125295508275,0.8248128447596532,0.777027027027027,0.8156028368794326,0.7222222222222222,104,40,26,115,gb_d2_lr03,acc_sens80,candidates_plus_raw_outputs
0.7403508771929824,0.7406914893617021,0.795311268715524,0.7465753424657534,0.7730496453900709,0.7083333333333334,102,42,32,109,logreg_c03,bacc_sens80,candidates_plus_raw_outputs
0.7403508771929824,0.7406914893617021,0.795311268715524,0.7465753424657534,0.7730496453900709,0.7083333333333334,102,42,32,109,logreg_c03,acc_sens80,candidates_plus_raw_outputs
0.7403508771929824,0.7403959810874705,0.795311268715524,0.7394366197183099,0.7446808510638298,0.7361111111111112,106,38,36,105,logreg_c03,bacc,candidates_plus_raw_outputs
0.7403508771929824,0.7403959810874705,0.795311268715524,0.7394366197183099,0.7446808510638298,0.7361111111111112,106,38,36,105,logreg_c03,acc,candidates_plus_raw_outputs
0.7333333333333333,0.7330821513002364,0.7634948778565799,0.7246376811594203,0.7092198581560284,0.7569444444444444,109,35,41,100,logreg_c1,bacc,candidates_plus_raw_outputs
0.7333333333333333,0.7330821513002364,0.7634948778565799,0.7246376811594203,0.7092198581560284,0.7569444444444444,109,35,41,100,logreg_c1,acc,candidates_plus_raw_outputs
0.7298245614035088,0.7299793144208038,0.795311268715524,0.7317073170731707,0.7446808510638298,0.7152777777777778,103,41,36,105,logreg_c03,f1,candidates_plus_raw_outputs
0.7263157894736842,0.7269503546099291,0.7634948778565799,0.74,0.7872340425531915,0.6666666666666666,96,48,30,111,logreg_c1,bacc_sens80,candidates_plus_raw_outputs
0.7263157894736842,0.7269503546099291,0.7634948778565799,0.74,0.7872340425531915,0.6666666666666666,96,48,30,111,logreg_c1,acc_sens80,candidates_plus_raw_outputs
0.7228070175438597,0.7234781323877069,0.7634948778565799,0.7375415282392026,0.7872340425531915,0.6597222222222222,95,49,30,111,logreg_c1,f1,candidates_plus_raw_outputs
