policy,score_name,extra_rate,split,accuracy,balanced_accuracy,sensitivity,specificity,precision,f1,tn,fp,fn,tp,control_n,control_rate,extra_captured_wrong_n,captured_wrong_n,captured_fn_n,captured_fp_n,remaining_error_n
v50_plus_rank_ood,image_common5_isolation_forest,0.05,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,439,0.7428087986463621,0,84,32,52,7
v50_plus_rank_ood,image_common5_isolation_forest,0.05,external,0.9722222222222222,0.9729682595047087,0.9787234042553191,0.9672131147540983,0.9583333333333334,0.968421052631579,59,2,1,46,80,0.7407407407407407,0,29,14,15,3
v50_plus_rank_ood,image_common5_isolation_forest,0.075,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,446,0.754653130287648,0,84,32,52,7
v50_plus_rank_ood,image_common5_isolation_forest,0.075,external,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,82,0.7592592592592593,1,30,14,16,2
v50_plus_rank_ood,image_common5_isolation_forest,0.1,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,453,0.766497461928934,0,84,32,52,7
v50_plus_rank_ood,image_common5_isolation_forest,0.1,external,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,82,0.7592592592592593,1,30,14,16,2
v50_plus_rank_ood,image_common5_isolation_forest,0.125,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,455,0.7698815566835872,0,84,32,52,7
v50_plus_rank_ood,image_common5_isolation_forest,0.125,external,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,82,0.7592592592592593,1,30,14,16,2
v50_plus_rank_ood,image_common5_isolation_forest,0.15,development,0.988155668358714,0.9869553031780074,0.9820627802690582,0.9918478260869565,0.9864864864864865,0.9842696629213483,365,3,4,219,460,0.7783417935702199,0,84,32,52,7
v50_plus_rank_ood,image_common5_isolation_forest,0.15,external,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,82,0.7592592592592593,1,30,14,16,2
v50_plus_rank_ood,image_common5_isolation_forest,0.2,development,0.9915397631133672,0.9914396081107428,0.9910313901345291,0.9918478260869565,0.9866071428571429,0.9888143176733781,365,3,2,221,468,0.7918781725888325,2,86,34,52,5
v50_plus_rank_ood,image_common5_isolation_forest,0.2,external,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,83,0.7685185185185185,1,30,14,16,2
v50_plus_rank_ood,image_common5_isolation_forest,0.25,development,0.9915397631133672,0.9914396081107428,0.9910313901345291,0.9918478260869565,0.9866071428571429,0.9888143176733781,365,3,2,221,482,0.8155668358714044,2,86,34,52,5
v50_plus_rank_ood,image_common5_isolation_forest,0.25,external,0.9814814814814815,0.9811649808161842,0.9787234042553191,0.9836065573770492,0.9787234042553191,0.9787234042553191,60,1,1,46,84,0.7777777777777778,1,30,14,16,2
